;name;description;referrals;properties;history
177;Clone Commander Bacara;Clone Commander Bacara (clone designation CC-1138) was the leader of the Galactic Marines, a unit of clone troopers famous for their distinctive armor and relentlessness in combat. Known for his aggressive tactics, Bacara led Republic forces against the Separatists during the Outer Rim Sieges, culminating in the assault on Mygeeto.;;{'Appearances': ['Star Wars: Revenge of the Sith (Episode III)'], 'Affiliations': ['Galactic Republic', 'Clone Troopers'], 'Locations': ['Kamino'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m ']};
178;Clone Commander Bly;A veteran of many Clone Wars battles, Clone Commander Bly (clone designation CC-5052) served in the 327th Star Corps on such worlds as Quell, Maridun, and Felucia. Bly developed a close working relationship with Jedi General Aayla Secura, who was always reassured to know the dependable clone trooper had her back.;;{'Appearances': ['Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic', 'Clone Troopers'], 'Locations': ['Kamino'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m '], 'Weapons': ['Blaster Rifle']};
179;Clone Commander Cody;A natural and practical leader in the clone army, Commander Cody's keen ability to strategize, combined with his fierce combat style in the heat of battle once earned him the respect of the Jedi and of his fellow clones. After years in service to General Obi-Wan Kenobi and working alongside his friend Captain Rex, when Darth Sidious executed Order 66, Cody's loyalty was eclipsed by his clone indoctrination, and he ordered his troops to fire on the Jedi. But after serving the Galactic Empire for a time, Cody began to realize that the Empire's idea of order called for brute force and bending the truth. And after leading a mission to secure the world of Desix in the name on the Emperor, Cody vanished.;['Obi-Wan Kenobi', 'clone Captain Rex', 'Anakin Skywalker'];{'Appearances': ['Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic', 'Clone Troopers'], 'Locations': ['Kamino'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m '], 'Vehicles': ['Republic Attack Gunship'], 'Weapons': ['Blaster Rifle']};
180;Clone Commander Doom;A clone commander, Doom served alongside the twin Jedi Masters Tiplar and Tiplee. Doom led a flanking maneuver during the Battle of Ringo Vinda, supported by clone troopers including Fives and Tup. When a seemingly disoriented Tup suddenly shot Tiplar in the back, the momentum of the attack was lost and Anakin Skywalker ordered Doom and his men to retreat.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic', 'Clone Troopers'], 'Locations': ['Kamino'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m '], 'Weapons': ['Blaster Pistol']};
181;Clone Commander Fox;Commander Fox led the Coruscant Guard, an elite clone trooper unit assigned to serve as peace-keepers on the Galactic Republic capital. Like every other clone trooper in the Guard, Fox was bound by honor and duty to protect and serve the Supreme Chancellor and the members of the Galactic Senate. Utterly fearless, he was always the first to lead the charge into battle, even in the most perilous combat situations. His exemplary performance has made him one of the most highly decorated soldiers in the Republic army.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic', 'Clone Troopers', 'Coruscant Guard'], 'Locations': ['Kamino'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m '], 'Weapons': ['Blaster Pistol', 'Blaster Rifle']};
182;Clone Commander Gree;Clone Commander Gree, designation 1004, led the Elite Corps of clone troopers during the Clone Wars. He saw deployments on such heated battlefronts as Kashyyyk. Gree himself wore camouflaged armor to better blend into jungle surroundings. Though a faithful commander who carried out the Jedi's orders, Gree was ultimately loyal to the Republic. When Chancellor Palpatine enacted Order 66, Gree understood it was a worst-case scenario contingency -- the Jedi had betrayed the Republic, and were therefore dangerous enemies of the state.;;{'Appearances': ['Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic', 'Clone Troopers'], 'Locations': ['Kamino'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m '], 'Weapons': ['Blaster Rifle']};
183;Clone Commander Jet;Trained in heavy-weapons such as flamethrowers, Clone Commander Jet (clone designation CC-1993) survived a crash landing on Geonosis and pressed the attack on Poggle the Lesser's forces, leading his orange-armored flame troopers through the planet's caverns and helping recapture its droid factories.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic', 'Clone Troopers'], 'Locations': ['Kamino'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m '], 'Weapons': ['Blaster Rifle']};
184;Clone Commander Mayday;Clone Commander Mayday was a dedicated soldier of the Galactic Republic who continued to serve the Empire protecting a seemingly insignificant depot dubbed 'The Outpost' on the barren world of Barton IV. A firm believer that respect had to be earned, Mayday chafes at the disdainful attitude of the new regime, especially those who treat clones as expendable, while he is forced to watch helplessly as his squad is cut down by raiders. But among the reinforcements, Mayday finds an unlikely ally in the elite clone, Crosshair.;;{'Appearances': ['Star Wars: The Bad Batch']};
185;Clone Commander Neyo;Clone Commander Neyo was stationed on Saleucami during the Outer Rim Sieges. While on speeder bike patrol with his Jedi general, Stass Allie, he received Order 66 directly from Supreme Chancellor Palpatine. The command identified Allie as an enemy of the Republic. Carrying out the order, he stopped his BARC speeder bike, falling in behind the Jedi. He and a wingman opened fire with their speeder-mounted laser cannons, killing Stass Allie and destroying her speeder bike.;;{'Appearances': ['Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic', 'Clone Troopers'], 'Locations': ['Kamino'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m '], 'Weapons': ['Blaster Pistol', 'Blaster Rifle'], 'Vehicles': ['BARC Speeder']};
186;Clone Commander Ponds;"CT-411, known as Clone Commander Ponds, served under Jedi Master Mace Windu during the Clone Wars. A veteran of such battlefields as Geonosis, Ryloth, and Malastare, Ponds had an Aurebesh phrase stenciled on the back of his helmet that read, ""some guys have all the luck."" Unfortunately, Ponds' luck ran out when his flagship, Endurance, was critically damaged by a saboteur and he was taken captive by merciless bounty hunters on Vanqor.";;{'Appearances': ['Star Wars: Attack of the Clones (Episode II)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic', 'Clone Troopers'], 'Locations': ['Kamino'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m '], 'Weapons': ['Blaster Pistol', 'Blaster Rifle'], 'Vehicles': ['AT-TE Walker', 'AT-RT Walker']};
187;Clone Commander Stone;A member of the Coruscant Guard, Clone Commander Stone (clone designation CC-5869) spent long stretches of the Clone Wars far from the front on the Republic's capital world. He was able to make use of his combat skills when pirates attacked his shuttle during a diplomatic mission to Florrum -- though nothing in Stone's training prepared him for taking orders from a Gungan politician.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic', 'Clone Troopers'], 'Locations': ['Kamino'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m ']};
188;Clone Commander Thorn;Clone Commander Thorn was a Republic soldier during the Clone Wars who led an escort of Padmé Amidala to Scipio. After nightfall, Thorn detected a coming Separatist assault, and acted fast to warn the Senator. With his Z06 blaster cannon (nicknamed the “Hammer”), he and his troops did what they could to hold off the attack. Battle droids closing in around him, Thorn unleashed a torrent of blaster bolts and a “For the Republic!” battle cry before falling valiantly.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m ']};
189;Clone Commander Wolffe;Clone Commander Wolffe (clone designation CC-3636) served under General Plo Koon in the Clone Wars, as commander of the tight-knit unit known as the Wolfpack. A seasoned and battered combatant, Wolffe has witnessed some of the worst the war has to offer. Early in the Clone Wars, he lost his entire command when Master Plo's flagship, Triumphant, was destroyed by the despicable General Grievous. Despite such tragedy, he fights on bravely, proudly brandishing his battle scars and instilling loyalty among his men.;['Plo Koon', 'Republic', 'Asajj Ventress', 'Aleen', 'Ahsoka Tano', 'Coruscant', 'Jedi Order', 'joopa', 'Seelos', 'Rex', 'Gregor', 'Kanan Jarrus', 'Empire', 'probe droid'];{'Appearances': ['Star Wars: The Clone Wars', 'Star Wars Rebels'], 'Affiliations': ['Galactic Republic', 'Clone Troopers'], 'Locations': ['Kamino'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m '], 'Weapons': ['Blaster Pistol', 'Blaster Rifle'], 'Vehicles': ['Republic Attack Gunship']};
190;Clone Pilot Odd Ball;A capable clone pilot with experience flying multiple starfighters and attack craft, Odd Ball fought at Teth, Umbara and Coruscant, sometimes flying alongside Obi-Wan Kenobi. He joined the hunt for the escaped Padawan Ahsoka Tano on Coruscant, and was engaged in battle above Utapau when Supreme Chancellor Palpatine issued Order 66, directing all clone forces to turn their weapons on their Jedi Generals.;;{'Appearances': ['Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m '], 'Vehicles': ['ARC-170 Starfighter', 'V-19 Torrent', 'Y-wing Starfighter', 'Republic Attack Gunship']};
191;Clone Veteran;Nearly a decade after the last battle of the Clone Wars, the Empire's plan to replace clone soldiers with conscripted civilians has left some of the few survivors of the Grand Army of the Republic destitute. On the streets of Daiyu, a veteran whose genetically encoded age acceleration and grueling combat experiences has left him worse for wear has been forgotten  and must beg for credits to survive. ;;{'Affiliations': ['Clone Troopers']};
192;Clu Lesser;Clu Lesser was a Muun banker. During the Clone Wars, he was leader of the Council of Five, which was the ruling body over the InterGalactic Banking Clan on Scipio. With as much money moving across the galaxy back and forth to bankroll the Clone Wars, naturally those in charge, Lesser included, did everything they could to skim money off the top for themselves. Senator Padme Amidala, with the help of former Senator Rush Clovis (and secretly, the Sith), leads a mission to uncover such corruption of the Core Five. Once his embezzlement is made public, Lesser is put on trial with the rest of his banking Council subordinates, found guilty, and imprisoned.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['InterGalactic Banking Clan'], 'Locations': ['Scipio', 'Muunilinst'], 'Gender': ['Male'], 'species': ['Muun']};
193;Cobb Vanth;The marshal of Mos Pelgo, a small town on Tatooine, Cobb Vanth has earned the trust of the townsfolk as a capable peacekeeper and leader. Vanth, at one time, was custodian of Boba Fett's Mandalorian armor, which he bought off of Jawa traders.;;{'Appearances': ['The Mandalorian', 'The Book of Boba Fett'], 'Locations': ['Tatooine', 'Freetown (Mos Pelgo)'], 'Gender': ['Male'], 'Vehicles': ['Cobb Vanth’s speeder']};
194;Coleman Trebor;The towering Vurk Coleman Trebor served the Jedi faithfully, winning an appointment to the Jedi Council. At the Battle of Geonosis he came within seconds of ending the Clone Wars at the very beginning, only to fall to a bounty hunter's blaster.;;{'Appearances': ['Star Wars: Attack of the Clones (Episode II)'], 'Affiliations': ['Jedi Order'], 'Gender': ['Male'], 'Dimensions': ['Height: 2.13m '], 'Weapons': ['Lightsaber']};
195;Colonel Bandwin Cor;General Merrick may be the inspirational leader of Starfighter Command, but Bandwin Cor oversees day-to-day operations. The colonel works closely with General Dodonna to determine how best to utilize Yavin 4’s critically important fighter squadrons. His gift for cool, dispassionate analysis ably complements Merrick’s talent for leadership.;;{'Appearances': ['Rogue One: A Star Wars Story'], 'Affiliations': ['Rebel Alliance'], 'Locations': ['Yavin 4'], 'Gender': ['Male'], 'species': ['Human']};
196;Colonel Datoo;Colonel Datoo supervised the primary fire control room of Starkiller Base. A methodical man and First Order true believer, Datoo was aghast when his fellow officers tried to flee the doomed base.;;{'Appearances': ['Star Wars: The Force Awakens (Episode VII)'], 'Affiliations': ['The First Order'], 'Locations': ['Starkiller Base'], 'Gender': ['Male'], 'species': ['Human']};
197;Colonel Meebur Gascon;Though the clone troopers embodied the war effort of the Galactic Republic against the Separatist Alliance, victory was reliant upon valiant patriots of all shapes and sizes. Meebur Gascon answered the call of duty at the very start of the conflict, and offered his keen analysis as part of Strategic Command since the Battle of Geonosis. The Jedi Council placed Gascon in command of D-Squad's mission to obtain a vital Separatist encryption module. No-nonsense and military-minded with an outsized personality and gruff voice, the diminutive Gascon balked at any suggestion that he was simply a map reader, or that his D-Squad assignment was a result of his tiny size.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic'], 'Gender': ['Male'], 'Dimensions': ['Height: 0.33m '], 'species': ['Zilkin']};
